STATE,ST,TIMEZONE,TZ
Truro,TR,Greenwich Mean Time,GMT
Cleveland,TS,Greenwich Mean Time,GMT
Twickenham,TW,Greenwich Mean Time,GMT
Southall,UB,Greenwich Mean Time,GMT
West London ,W1,Greenwich Mean Time,GMT
West London ,W2,Greenwich Mean Time,GMT
West London ,W3,Greenwich Mean Time,GMT
West London ,W4,Greenwich Mean Time,GMT
West London ,W5,Greenwich Mean Time,GMT
West London ,W6,Greenwich Mean Time,GMT
West London ,W7,Greenwich Mean Time,GMT
West London ,W8,Greenwich Mean Time,GMT
West London ,W9,Greenwich Mean Time,GMT
Warrington,WA,Greenwich Mean Time,GMT
West Central London,WC,Greenwich Mean Time,GMT
Watford,WD,Greenwich Mean Time,GMT
Wakefield,WF,Greenwich Mean Time,GMT
Wigan,WN,Greenwich Mean Time,GMT
Worcester,WR,Greenwich Mean Time,GMT
Walsall,WS,Greenwich Mean Time,GMT
Wolverhampton,WV,Greenwich Mean Time,GMT
York,YO,Greenwich Mean Time,GMT
Lerwick,ZE,Greenwich Mean Time,GMT
