,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
4825,660021,Liverpool General,15 Fore Street,Liverpool,L1,L1 0AJ,Merseyside,(01234) 123470,Acute Care Hospitals,Government,Yes,1,53.39674185,-2.983409234
4826,660022,Liverpool General,16 Fore Street,Liverpool,L2,L2 0QD,Merseyside,(01234) 123471,Acute Care Hospitals,Government,Yes,1,53.40611099,-2.992861487
4827,660023,Liverpool General,17 Fore Street,Liverpool,L3,L3 1DX,Merseyside,(01234) 123472,Acute Care Hospitals,Government,Yes,1,53.412555,-2.999556
4828,660024,Liverpool General,18 Fore Street,Liverpool,L4,L4 0RQ,Merseyside,(01234) 123473,Acute Care Hospitals,Government,Yes,1,53.42960701,-2.961125079
4829,660025,Liverpool General,19 Fore Street,Liverpool,L5,L5 0PJ,Merseyside,(01234) 123474,Acute Care Hospitals,Government,Yes,1,53.42657561,-2.970282175
4830,660026,Liverpool General,20 Fore Street,Liverpool,L6,L6 0AH,Merseyside,(01234) 123475,Acute Care Hospitals,Government,Yes,1,53.426537,-2.950596
4831,660027,Liverpool General,21 Fore Street,Liverpool,L7,L7 0ED,Merseyside,(01234) 123476,Acute Care Hospitals,Government,Yes,1,53.410213,-2.946065
4832,660028,Liverpool General,22 Fore Street,Liverpool,L8,L8 0HA,Merseyside,(01234) 123477,Acute Care Hospitals,Government,Yes,1,53.39165898,-2.952886351
4833,660029,Liverpool General,23 Fore Street,Liverpool,L9,L9 0EG,Merseyside,(01234) 123478,Acute Care Hospitals,Government,Yes,1,53.46404675,-2.95722
4834,660030,Lancaster General,24 Fore Street,Lancaster,LA,LA1 1AB,Lancashire,(01234) 123479,Acute Care Hospitals,Government,Yes,1,54.047941,-2.804344262
4835,660031,Llandrindod Wells General,25 Fore Street,Llandrindod Wells,LD,LD1 5AB,Powys,(01234) 123480,Acute Care Hospitals,Government,Yes,1,52.25303128,-3.370459366
4836,660032,Leicester General,26 Fore Street,Leicester,LE,LE1 1DD,Leicestershire,(01234) 123481,Acute Care Hospitals,Government,Yes,1,52.635039,-1.131614
4837,660033,Llandudno General,27 Fore Street,Llandudno,LL,LL11 0BY,Conwy,(01234) 123482,Acute Care Hospitals,Government,Yes,1,53.04889153,-3.000084772
4838,660034,Lincoln General,28 Fore Street,Lincoln,LN,LN1 1AD,Lincolnshire,(01234) 123483,Acute Care Hospitals,Government,Yes,1,53.24583697,-0.556349815
4839,660035,Leeds General,29 Fore Street,Leeds,LS,LS1 4WL,WestYorkshire,(01234) 123484,Acute Care Hospitals,Government,Yes,1,53.7963037,-1.564125592
4840,660036,Luton General,30 Fore Street,Luton,LU,LU1 1BE,Bedfordshire,(01234) 123485,Acute Care Hospitals,Government,Yes,1,51.88092123,-0.423706923
4841,660037,Manchester General,31 Fore Street,Manchester,M1,M1 1AD,Lancashire,(01234) 123486,Acute Care Hospitals,Government,Yes,1,53.48384685,-2.244839
4842,660038,Manchester General,32 Fore Street,Manchester,M2,M2 1BB,Lancashire,(01234) 123487,Acute Care Hospitals,Government,Yes,1,53.48166073,-2.241752576
4843,660039,Manchester General,33 Fore Street,Manchester,M3,M3 1EB,Lancashire,(01234) 123488,Acute Care Hospitals,Government,Yes,1,53.491094,-2.24883
4844,660040,Manchester General,34 Fore Street,Manchester,M4,M4 1BE,Lancashire,(01234) 123489,Acute Care Hospitals,Government,Yes,1,53.48509517,-2.236844275
4845,660041,Manchester General,35 Fore Street,Manchester,M5,M5 3AF,Lancashire,(01234) 123490,Acute Care Hospitals,Government,Yes,1,53.47643226,-2.281484136
4846,660042,Manchester General,36 Fore Street,Manchester,M6,M6 5AP,Lancashire,(01234) 123491,Acute Care Hospitals,Government,Yes,1,53.48581774,-2.280838026
4847,660043,Manchester General,37 Fore Street,Manchester,M7,M7 1BF,Lancashire,(01234) 123492,Acute Care Hospitals,Government,Yes,1,53.49063019,-2.267516191
4848,660044,Manchester General,38 Fore Street,Manchester,M8,M8 0AD,Lancashire,(01234) 123493,Acute Care Hospitals,Government,Yes,1,53.507303,-2.224846
4849,660045,Manchester General,39 Fore Street,Manchester,M9,M9 0GL,Lancashire,(01234) 123494,Acute Care Hospitals,Government,Yes,1,53.53793471,-2.233970779
4850,660046,Rochester General,40 Fore Street,Rochester,ME,ME1 1AG,Kent,(01234) 123495,Acute Care Hospitals,Government,Yes,1,51.38227962,0.505345352
4851,660047,Milton Keynes General,41 Fore Street,Milton Keynes,MK,MK1 1BP,Buckinghamshire,(01234) 123496,Acute Care Hospitals,Government,Yes,1,52.00044423,-0.717705427
4852,660048,Motherwell General,42 Fore Street,Motherwell,ML,ML1 1BP,Lanarkshire,(01234) 123497,Acute Care Hospitals,Government,Yes,1,55.79477512,-3.996398212
4853,660049,North London  General,43 Fore Street,North London ,N1,N1 0AQ,Hertfordshire,(01234) 123498,Acute Care Hospitals,Government,Yes,1,51.53987847,-0.122151996
4854,660050,North London  General,44 Fore Street,North London ,N2,N2 0AE,Hertfordshire,(01234) 123499,Acute Care Hospitals,Government,Yes,1,51.58525083,-0.171467698
4855,660051,North London  General,45 Fore Street,North London ,N3,N3 1AP,Hertfordshire,(01234) 123500,Acute Care Hospitals,Government,Yes,1,51.60988221,-0.194207244
4856,660052,North London  General,46 Fore Street,North London ,N4,N4 1AE,Hertfordshire,(01234) 123501,Acute Care Hospitals,Government,Yes,1,51.57818483,-0.100266693
4857,660053,North London  General,47 Fore Street,North London ,N5,N5 1AG,Hertfordshire,(01234) 123502,Acute Care Hospitals,Government,Yes,1,51.55507036,-0.101143397
4858,660054,North London  General,48 Fore Street,North London ,N6,N6 4AG,Hertfordshire,(01234) 123503,Acute Care Hospitals,Government,Yes,1,51.57467735,-0.15636
4859,660055,North London  General,49 Fore Street,North London ,N7,N7 0AH,Hertfordshire,(01234) 123504,Acute Care Hospitals,Government,Yes,1,51.55672256,-0.131801599
4860,660056,North London  General,50 Fore Street,North London ,N8,N8 0AJ,Hertfordshire,(01234) 123505,Acute Care Hospitals,Government,Yes,1,51.58368924,-0.104223091
4861,660057,North London  General,51 Fore Street,North London ,N9,N9 0AT,Hertfordshire,(01234) 123506,Acute Care Hospitals,Government,Yes,1,51.62609753,-0.032628926
4862,660058,Newcastle Upon Tyne General,52 Fore Street,Newcastle Upon Tyne,NE,NE1 1EZ,Northumberland,(01234) 123507,Acute Care Hospitals,Government,Yes,1,54.97154764,-1.612547907
4863,660059,Nottingham General,53 Fore Street,Nottingham,NG,NG1 1BZ,Nottinghamshire,(01234) 123508,Acute Care Hospitals,Government,Yes,1,52.95604869,-1.140905729
4864,660060,Northampton General,54 Fore Street,Northampton,NN,NN1 1DD,Northamptonshire,(01234) 123509,Acute Care Hospitals,Government,Yes,1,52.23627951,-0.894601704
4865,660061,Newport General,55 Fore Street,Newport,NP,NP10 0AN,Monmouthshire,(01234) 123510,Acute Care Hospitals,Government,Yes,1,51.59418615,-3.053384065
4866,660062,Norwich General,56 Fore Street,Norwich,NR,NR1 1BG,Norfolk,(01234) 123511,Acute Care Hospitals,Government,Yes,1,52.62928498,1.300921057
4867,660063,North West London General,57 Fore Street,North West London,NW,NW1 0BH,Hertfordshire,(01234) 123512,Acute Care Hospitals,Government,Yes,1,51.53993475,-0.13413311
4868,660064,Oldham General,58 Fore Street,Oldham,OL,OL1 1BD,GreaterManchester,(01234) 123513,Acute Care Hospitals,Government,Yes,1,53.53956427,-2.115408914
4869,660065,Oxford General,59 Fore Street,Oxford,OX,OX1 1AW,Oxfordshire,(01234) 123514,Acute Care Hospitals,Government,Yes,1,51.74879097,-1.258713267
4870,660066,Paisley General,60 Fore Street,Paisley,PA,PA1 1BX,Renfrewshire,(01234) 123515,Acute Care Hospitals,Government,Yes,1,55.84645074,-4.4253291
4871,660067,Peterborough General,61 Fore Street,Peterborough,PE,PE1 1DP,Cambridgeshire,(01234) 123516,Acute Care Hospitals,Government,Yes,1,52.57143714,-0.242615
4872,660068,Perth General,62 Fore Street,Perth,PH,PH1 1BP,Perthshire,(01234) 123517,Acute Care Hospitals,Government,Yes,1,56.39051623,-3.456193905
4873,660069,Plymouth General,63 Fore Street,Plymouth,PL,PL1 1DP,Devon,(01234) 123518,Acute Care Hospitals,Government,Yes,1,50.371173,-4.138759
4874,660070,Portsmouth General,64 Fore Street,Portsmouth,PO,PO1 1BJ,Hampshire,(01234) 123519,Acute Care Hospitals,Government,Yes,1,50.80006156,-1.07887567
4875,660071,Preston General,65 Fore Street,Preston,PR,PR1 0AJ,Lancashire,(01234) 123520,Acute Care Hospitals,Government,Yes,1,53.75226932,-2.725233339
4876,660072,Reading General,66 Fore Street,Reading,RG,RG1 1DX,Berkshire,(01234) 123521,Acute Care Hospitals,Government,Yes,1,51.45693188,-0.97403499
4877,660073,Redhill General,67 Fore Street,Redhill,RH,RH1 1AT,Surrey,(01234) 123522,Acute Care Hospitals,Government,Yes,1,51.24248652,-0.163301677
4878,660074,Romford General,68 Fore Street,Romford,RM,RM1 1AU,Essex,(01234) 123523,Acute Care Hospitals,Government,Yes,1,51.57595201,0.180118
4879,660075,Sheffield General,69 Fore Street,Sheffield,S1,S1 1GS,SouthYorkshire ,(01234) 123524,Acute Care Hospitals,Government,Yes,1,53.38154939,-1.464295
4880,660076,Sheffield General,70 Fore Street,Sheffield,S2,S2 1BD,SouthYorkshire ,(01234) 123525,Acute Care Hospitals,Government,Yes,1,53.36976716,-1.417880803
4881,660077,Sheffield General,71 Fore Street,Sheffield,S3,S3 7AP,SouthYorkshire ,(01234) 123526,Acute Care Hospitals,Government,Yes,1,53.384084,-1.481567
4882,660078,Sheffield General,72 Fore Street,Sheffield,S4,S4 7AS,SouthYorkshire ,(01234) 123527,Acute Care Hospitals,Government,Yes,1,53.40200525,-1.453087462
4883,660079,Sheffield General,73 Fore Street,Sheffield,S5,S5 0AW,SouthYorkshire ,(01234) 123528,Acute Care Hospitals,Government,Yes,1,53.43271698,-1.450586247
4884,660080,Sheffield General,74 Fore Street,Sheffield,S6,S6 1AP,SouthYorkshire ,(01234) 123529,Acute Care Hospitals,Government,Yes,1,53.43346252,-1.495310428
4885,660081,Sheffield General,75 Fore Street,Sheffield,S7,S7 1DA,SouthYorkshire ,(01234) 123530,Acute Care Hospitals,Government,Yes,1,53.36567092,-1.47876939
4886,660082,Sheffield General,76 Fore Street,Sheffield,S8,S8 0BH,SouthYorkshire ,(01234) 123531,Acute Care Hospitals,Government,Yes,1,53.335716,-1.490067
4887,660083,Sheffield General,77 Fore Street,Sheffield,S9,S9 1AQ,SouthYorkshire ,(01234) 123532,Acute Care Hospitals,Government,Yes,1,53.41462845,-1.425031953
4888,660084,Swansea General,78 Fore Street,Swansea,SA,SA1 1DP,Glamorgan,(01234) 123533,Acute Care Hospitals,Government,Yes,1,51.619758,-3.939351
4889,660085,South East London General,79 Fore Street,South East London,SE,SE1 0AL,GreaterLondon,(01234) 123534,Acute Care Hospitals,Government,Yes,1,51.50475637,-0.096103121
4890,660086,Stevenage General,80 Fore Street,Stevenage,SG,SG1 1DS,Hertfordshire,(01234) 123535,Acute Care Hospitals,Government,Yes,1,51.90337926,-0.201489032
4891,660087,Stockport General,81 Fore Street,Stockport,SK,SK1 1ED,GreaterManchester,(01234) 123536,Acute Care Hospitals,Government,Yes,1,53.40756018,-2.161561721
4892,660088,Slough General,82 Fore Street,Slough,SL,SL0 0AT,Buckinghamshire,(01234) 123537,Acute Care Hospitals,Government,Yes,1,51.52713771,-0.507918367
4893,660089,Sutton General,83 Fore Street,Sutton,SM,SM1 1BS,GreaterLondon,(01234) 123538,Acute Care Hospitals,Government,Yes,1,51.360305,-0.19364051
4894,660090,Swindon General,84 Fore Street,Swindon,SN,SN1 1BL,Wiltshire,(01234) 123539,Acute Care Hospitals,Government,Yes,1,51.561975,-1.786624
4895,660091,Southampton General,85 Fore Street,Southampton,SO,SO14 0AP,Hampshire,(01234) 123540,Acute Care Hospitals,Government,Yes,1,50.91112558,-1.398131112
4896,660092,Salisbury General,86 Fore Street,Salisbury,SP,SP1 1BT,Wiltshire,(01234) 123541,Acute Care Hospitals,Government,Yes,1,51.0696397,-1.797270611
4897,660093,Sunderland General,87 Fore Street,Sunderland,SR,SR1 1EA,TyneAndWear,(01234) 123542,Acute Care Hospitals,Government,Yes,1,54.907177,-1.378205
4898,660094,Southend-on-Sea General,88 Fore Street,Southend-on-Sea,SS,SS0 0AL,Essex,(01234) 123543,Acute Care Hospitals,Government,Yes,1,51.55546561,0.679119396
4899,660095,Stoke-on-Trent General,89 Fore Street,Stoke-on-Trent,ST,ST1 1DR,Staffordshire,(01234) 123544,Acute Care Hospitals,Government,Yes,1,53.02514251,-2.177764367
4900,660096,South West London General,90 Fore Street,South West London,SW,SW10 0AR,GreaterLondon,(01234) 123545,Acute Care Hospitals,Government,Yes,1,51.485023,-0.179614
4901,660097,Shrewsbury General,91 Fore Street,Shrewsbury,SY,SY1 1DL,Shropshire,(01234) 123546,Acute Care Hospitals,Government,Yes,1,52.70861159,-2.7506812
4902,660098,Taunton General,92 Fore Street,Taunton,TA,TA1 1BH,Somerset,(01234) 123547,Acute Care Hospitals,Government,Yes,1,51.02269464,-3.10823
4903,660099,Galashiels General,93 Fore Street,Galashiels,TD,TD1 1DU,Roxburgh,(01234) 123548,Acute Care Hospitals,Government,Yes,1,55.61543127,-2.812145
4904,660100,Telford General,94 Fore Street,Telford,TF,TF1 1DD,Shropshire,(01234) 123549,Acute Care Hospitals,Government,Yes,1,52.70189545,-2.519273834
4905,660101,Tonbridge General,95 Fore Street,Tonbridge,TN,TN1 1DG,Kent,(01234) 123550,Acute Care Hospitals,Government,Yes,1,51.12727396,0.259921652
4906,660102,Torquay General,96 Fore Street,Torquay,TQ,TQ1 1DD,Devon,(01234) 123551,Acute Care Hospitals,Government,Yes,1,50.46197025,-3.523943679
4907,660103,Truro General,97 Fore Street,Truro,TR,TR1 1BY,Cornwall,(01234) 123552,Acute Care Hospitals,Government,Yes,1,50.27052113,-5.048427012
4908,660104,Cleveland General,98 Fore Street,Cleveland,TS,TS1 1HG,NorthYorkshire,(01234) 123553,Acute Care Hospitals,Government,Yes,1,54.578368,-1.231993
4909,660105,Twickenham General,99 Fore Street,Twickenham,TW,TW1 1BA,Middlesex,(01234) 123554,Acute Care Hospitals,Government,Yes,1,51.45286834,-0.33092348
4910,660106,Southall General,100 Fore Street,Southall,UB,UB1 1BF,GreaterLondon,(01234) 123555,Acute Care Hospitals,Government,Yes,1,51.51604468,-0.383296458
4911,660107,West London  General,101 Fore Street,West London ,W1,W10 4AQ,GreaterLondon,(01234) 123556,Acute Care Hospitals,Government,Yes,1,51.53204088,-0.21395628
4912,660108,West London  General,102 Fore Street,West London ,W2,W2 1BS,GreaterLondon,(01234) 123557,Acute Care Hospitals,Government,Yes,1,51.52236048,-0.173944729
4913,660109,West London  General,103 Fore Street,West London ,W3,W3 0AQ,GreaterLondon,(01234) 123558,Acute Care Hospitals,Government,Yes,1,51.52097816,-0.274496724
4914,660110,West London  General,104 Fore Street,West London ,W4,W4 1AP,GreaterLondon,(01234) 123559,Acute Care Hospitals,Government,Yes,1,51.50251606,-0.256203835
4915,660111,West London  General,105 Fore Street,West London ,W5,W5 1AQ,GreaterLondon,(01234) 123560,Acute Care Hospitals,Government,Yes,1,51.52963267,-0.302498849
4916,660112,West London  General,106 Fore Street,West London ,W6,W6 0AQ,GreaterLondon,(01234) 123561,Acute Care Hospitals,Government,Yes,1,51.50035394,-0.229531106
4917,660113,West London  General,107 Fore Street,West London ,W7,W7 1JP,GreaterLondon,(01234) 123562,Acute Care Hospitals,Government,Yes,1,51.52582799,-0.335061251
4918,660114,West London  General,108 Fore Street,West London ,W8,W8 4AQ,GreaterLondon,(01234) 123563,Acute Care Hospitals,Government,Yes,1,51.50528671,-0.19154407
4919,660115,West London  General,109 Fore Street,West London ,W9,W9 1AW,GreaterLondon,(01234) 123564,Acute Care Hospitals,Government,Yes,1,51.52403934,-0.180018
4920,660116,Warrington General,110 Fore Street,Warrington,WA,WA1 1ED,Cheshire,(01234) 123565,Acute Care Hospitals,Government,Yes,1,53.3878778,-2.594692307
4921,660117,West Central London General,111 Fore Street,West Central London,WC,WC1A 1HB,GreaterLondon,(01234) 123566,Acute Care Hospitals,Government,Yes,1,51.516846,-0.128115
4922,660118,Watford General,112 Fore Street,Watford,WD,WD17 1BN,Hertfordshire,(01234) 123567,Acute Care Hospitals,Government,Yes,1,51.66108957,-0.40049238
4923,660119,Wakefield General,113 Fore Street,Wakefield,WF,WF1 1DR,WestYorkshire,(01234) 123568,Acute Care Hospitals,Government,Yes,1,53.679835,-1.501379
4924,660120,Wigan General,114 Fore Street,Wigan,WN,WN1 1AZ,GreaterManchester,(01234) 123569,Acute Care Hospitals,Government,Yes,1,53.54583508,-2.629669137
4925,660121,Worcester General,115 Fore Street,Worcester,WR,WR1 1EE,Worcestershire,(01234) 123570,Acute Care Hospitals,Government,Yes,1,52.19584041,-2.222843393
4926,660122,Walsall General,116 Fore Street,Walsall,WS,WS1 1ER,WestMidlands,(01234) 123571,Acute Care Hospitals,Government,Yes,1,52.58457523,-1.983589
4927,660123,Wolverhampton General,117 Fore Street,Wolverhampton,WV,WV1 1ES,WestMidlands,(01234) 123572,Acute Care Hospitals,Government,Yes,1,52.58541838,-2.124792
4928,660124,York General,118 Fore Street,York,YO,YO1 0SQ,NorthYorkshire,(01234) 123573,Acute Care Hospitals,Government,Yes,1,53.95963181,-1.0856321
4929,660125,Lerwick General,119 Fore Street,Lerwick,ZE,ZE1 0AT,Shetland,(01234) 123574,Acute Care Hospitals,Government,Yes,1,60.15060807,-1.142888226
