,id,name,address,city,state,zip,county,phone,ownership,startdate,LAT,LON,hospital,rehab
1250,673073,North London Rehab Centre,47 Fore Street,North London ,N5,N5 1AG,Hertfordshire,(01234) 123502,Non_Profit,16/02/1910,51.55507036,-0.101143397,FALSE,TRUE
1251,673074,North London Rehab Centre,48 Fore Street,North London ,N6,N6 4AG,Hertfordshire,(01234) 123503,Non_Profit,17/02/1910,51.57467735,-0.15636,FALSE,TRUE
1252,673075,North London Rehab Centre,49 Fore Street,North London ,N7,N7 0AH,Hertfordshire,(01234) 123504,Non_Profit,18/02/1910,51.55672256,-0.131801599,FALSE,TRUE
1253,673076,North London Rehab Centre,50 Fore Street,North London ,N8,N8 0AJ,Hertfordshire,(01234) 123505,Non_Profit,19/02/1910,51.58368924,-0.104223091,FALSE,TRUE
1254,673077,North London Rehab Centre,51 Fore Street,North London ,N9,N9 0AT,Hertfordshire,(01234) 123506,Non_Profit,20/02/1910,51.62609753,-0.032628926,FALSE,TRUE
1255,673078,Newcastle Upon TyneRehab Centre,52 Fore Street,Newcastle Upon Tyne,NE,NE1 1EZ,Northumberland,(01234) 123507,Non_Profit,21/02/1910,54.97154764,-1.612547907,FALSE,TRUE
1256,673079,NottinghamRehab Centre,53 Fore Street,Nottingham,NG,NG1 1BZ,Nottinghamshire,(01234) 123508,Non_Profit,22/02/1910,52.95604869,-1.140905729,FALSE,TRUE
1257,673080,NorthamptonRehab Centre,54 Fore Street,Northampton,NN,NN1 1DD,Northamptonshire,(01234) 123509,Non_Profit,23/02/1910,52.23627951,-0.894601704,FALSE,TRUE
1258,673081,NewportRehab Centre,55 Fore Street,Newport,NP,NP10 0AN,Monmouthshire,(01234) 123510,Non_Profit,24/02/1910,51.59418615,-3.053384065,FALSE,TRUE
1259,673082,NorwichRehab Centre,56 Fore Street,Norwich,NR,NR1 1BG,Norfolk,(01234) 123511,Non_Profit,25/02/1910,52.62928498,1.300921057,FALSE,TRUE
1260,673083,North West LondonRehab Centre,57 Fore Street,North West London,NW,NW1 0BH,Hertfordshire,(01234) 123512,Non_Profit,26/02/1910,51.53993475,-0.13413311,FALSE,TRUE
1261,673084,OldhamRehab Centre,58 Fore Street,Oldham,OL,OL1 1BD,GreaterManchester,(01234) 123513,Non_Profit,27/02/1910,53.53956427,-2.115408914,FALSE,TRUE
1262,673085,OxfordRehab Centre,59 Fore Street,Oxford,OX,OX1 1AW,Oxfordshire,(01234) 123514,Non_Profit,28/02/1910,51.74879097,-1.258713267,FALSE,TRUE
1263,673086,PaisleyRehab Centre,60 Fore Street,Paisley,PA,PA1 1BX,Renfrewshire,(01234) 123515,Non_Profit,01/03/1910,55.84645074,-4.4253291,FALSE,TRUE
1264,673087,PeterboroughRehab Centre,61 Fore Street,Peterborough,PE,PE1 1DP,Cambridgeshire,(01234) 123516,Non_Profit,02/03/1910,52.57143714,-0.242615,FALSE,TRUE
1265,673088,PerthRehab Centre,62 Fore Street,Perth,PH,PH1 1BP,Perthshire,(01234) 123517,Non_Profit,03/03/1910,56.39051623,-3.456193905,FALSE,TRUE
1266,673089,PlymouthRehab Centre,63 Fore Street,Plymouth,PL,PL1 1DP,Devon,(01234) 123518,Non_Profit,04/03/1910,50.371173,-4.138759,FALSE,TRUE
1267,673090,PortsmouthRehab Centre,64 Fore Street,Portsmouth,PO,PO1 1BJ,Hampshire,(01234) 123519,Non_Profit,05/03/1910,50.80006156,-1.07887567,FALSE,TRUE
1268,673091,PrestonRehab Centre,65 Fore Street,Preston,PR,PR1 0AJ,Lancashire,(01234) 123520,Non_Profit,06/03/1910,53.75226932,-2.725233339,FALSE,TRUE
1269,673092,ReadingRehab Centre,66 Fore Street,Reading,RG,RG1 1DX,Berkshire,(01234) 123521,Non_Profit,07/03/1910,51.45693188,-0.97403499,FALSE,TRUE
1270,673093,RedhillRehab Centre,67 Fore Street,Redhill,RH,RH1 1AT,Surrey,(01234) 123522,Non_Profit,08/03/1910,51.24248652,-0.163301677,FALSE,TRUE
1271,673094,RomfordRehab Centre,68 Fore Street,Romford,RM,RM1 1AU,Essex,(01234) 123523,Non_Profit,09/03/1910,51.57595201,0.180118,FALSE,TRUE
1272,673095,SheffieldRehab Centre,69 Fore Street,Sheffield,S1,S1 1GS,SouthYorkshire ,(01234) 123524,Non_Profit,10/03/1910,53.38154939,-1.464295,FALSE,TRUE
1273,673096,SheffieldRehab Centre,70 Fore Street,Sheffield,S2,S2 1BD,SouthYorkshire ,(01234) 123525,Non_Profit,11/03/1910,53.36976716,-1.417880803,FALSE,TRUE
1274,673097,SheffieldRehab Centre,71 Fore Street,Sheffield,S3,S3 7AP,SouthYorkshire ,(01234) 123526,Non_Profit,12/03/1910,53.384084,-1.481567,FALSE,TRUE
1275,673098,SheffieldRehab Centre,72 Fore Street,Sheffield,S4,S4 7AS,SouthYorkshire ,(01234) 123527,Non_Profit,13/03/1910,53.40200525,-1.453087462,FALSE,TRUE
1276,673099,SheffieldRehab Centre,73 Fore Street,Sheffield,S5,S5 0AW,SouthYorkshire ,(01234) 123528,Non_Profit,14/03/1910,53.43271698,-1.450586247,FALSE,TRUE
1277,673100,SheffieldRehab Centre,74 Fore Street,Sheffield,S6,S6 1AP,SouthYorkshire ,(01234) 123529,Non_Profit,15/03/1910,53.43346252,-1.495310428,FALSE,TRUE
1278,673101,SheffieldRehab Centre,75 Fore Street,Sheffield,S7,S7 1DA,SouthYorkshire ,(01234) 123530,Non_Profit,16/03/1910,53.36567092,-1.47876939,FALSE,TRUE
1279,673102,SheffieldRehab Centre,76 Fore Street,Sheffield,S8,S8 0BH,SouthYorkshire ,(01234) 123531,Non_Profit,17/03/1910,53.335716,-1.490067,FALSE,TRUE
1280,673103,SheffieldRehab Centre,77 Fore Street,Sheffield,S9,S9 1AQ,SouthYorkshire ,(01234) 123532,Non_Profit,18/03/1910,53.41462845,-1.425031953,FALSE,TRUE
1281,673104,SwanseaRehab Centre,78 Fore Street,Swansea,SA,SA1 1DP,Glamorgan,(01234) 123533,Non_Profit,19/03/1910,51.619758,-3.939351,FALSE,TRUE
1282,673105,South East LondonRehab Centre,79 Fore Street,South East London,SE,SE1 0AL,GreaterLondon,(01234) 123534,Non_Profit,20/03/1910,51.50475637,-0.096103121,FALSE,TRUE
1283,673106,StevenageRehab Centre,80 Fore Street,Stevenage,SG,SG1 1DS,Hertfordshire,(01234) 123535,Non_Profit,21/03/1910,51.90337926,-0.201489032,FALSE,TRUE
1284,673107,StockportRehab Centre,81 Fore Street,Stockport,SK,SK1 1ED,GreaterManchester,(01234) 123536,Non_Profit,22/03/1910,53.40756018,-2.161561721,FALSE,TRUE
1285,673108,SloughRehab Centre,82 Fore Street,Slough,SL,SL0 0AT,Buckinghamshire,(01234) 123537,Non_Profit,23/03/1910,51.52713771,-0.507918367,FALSE,TRUE
1286,673109,SuttonRehab Centre,83 Fore Street,Sutton,SM,SM1 1BS,GreaterLondon,(01234) 123538,Non_Profit,24/03/1910,51.360305,-0.19364051,FALSE,TRUE
1287,673110,SwindonRehab Centre,84 Fore Street,Swindon,SN,SN1 1BL,Wiltshire,(01234) 123539,Non_Profit,25/03/1910,51.561975,-1.786624,FALSE,TRUE
1288,673111,SouthamptonRehab Centre,85 Fore Street,Southampton,SO,SO14 0AP,Hampshire,(01234) 123540,Non_Profit,26/03/1910,50.91112558,-1.398131112,FALSE,TRUE
1289,673112,SalisburyRehab Centre,86 Fore Street,Salisbury,SP,SP1 1BT,Wiltshire,(01234) 123541,Non_Profit,27/03/1910,51.0696397,-1.797270611,FALSE,TRUE
1290,673113,SunderlandRehab Centre,87 Fore Street,Sunderland,SR,SR1 1EA,TyneAndWear,(01234) 123542,Non_Profit,28/03/1910,54.907177,-1.378205,FALSE,TRUE
1291,673114,Southend-on-SeaRehab Centre,88 Fore Street,Southend-on-Sea,SS,SS0 0AL,Essex,(01234) 123543,Non_Profit,29/03/1910,51.55546561,0.679119396,FALSE,TRUE
1292,673115,Stoke-on-TrentRehab Centre,89 Fore Street,Stoke-on-Trent,ST,ST1 1DR,Staffordshire,(01234) 123544,Non_Profit,30/03/1910,53.02514251,-2.177764367,FALSE,TRUE
1293,673116,South West LondonRehab Centre,90 Fore Street,South West London,SW,SW10 0AR,GreaterLondon,(01234) 123545,Non_Profit,31/03/1910,51.485023,-0.179614,FALSE,TRUE
1294,673117,ShrewsburyRehab Centre,91 Fore Street,Shrewsbury,SY,SY1 1DL,Shropshire,(01234) 123546,Non_Profit,01/04/1910,52.70861159,-2.7506812,FALSE,TRUE
1295,673118,TauntonRehab Centre,92 Fore Street,Taunton,TA,TA1 1BH,Somerset,(01234) 123547,Non_Profit,02/04/1910,51.02269464,-3.10823,FALSE,TRUE
1296,673119,GalashielsRehab Centre,93 Fore Street,Galashiels,TD,TD1 1DU,Roxburgh,(01234) 123548,Non_Profit,03/04/1910,55.61543127,-2.812145,FALSE,TRUE
1297,673120,TelfordRehab Centre,94 Fore Street,Telford,TF,TF1 1DD,Shropshire,(01234) 123549,Non_Profit,04/04/1910,52.70189545,-2.519273834,FALSE,TRUE
1298,673121,TonbridgeRehab Centre,95 Fore Street,Tonbridge,TN,TN1 1DG,Kent,(01234) 123550,Non_Profit,05/04/1910,51.12727396,0.259921652,FALSE,TRUE
1299,673122,TorquayRehab Centre,96 Fore Street,Torquay,TQ,TQ1 1DD,Devon,(01234) 123551,Non_Profit,06/04/1910,50.46197025,-3.523943679,FALSE,TRUE
1300,673123,TruroRehab Centre,97 Fore Street,Truro,TR,TR1 1BY,Cornwall,(01234) 123552,Non_Profit,07/04/1910,50.27052113,-5.048427012,FALSE,TRUE
1301,673124,ClevelandRehab Centre,98 Fore Street,Cleveland,TS,TS1 1HG,NorthYorkshire,(01234) 123553,Non_Profit,08/04/1910,54.578368,-1.231993,FALSE,TRUE
1302,673125,TwickenhamRehab Centre,99 Fore Street,Twickenham,TW,TW1 1BA,Middlesex,(01234) 123554,Non_Profit,09/04/1910,51.45286834,-0.33092348,FALSE,TRUE
1303,673126,SouthallRehab Centre,100 Fore Street,Southall,UB,UB1 1BF,GreaterLondon,(01234) 123555,Non_Profit,10/04/1910,51.51604468,-0.383296458,FALSE,TRUE
1304,673127,West London Rehab Centre,101 Fore Street,West London ,W1,W10 4AQ,GreaterLondon,(01234) 123556,Non_Profit,11/04/1910,51.53204088,-0.21395628,FALSE,TRUE
1305,673128,West London Rehab Centre,102 Fore Street,West London ,W2,W2 1BS,GreaterLondon,(01234) 123557,Non_Profit,12/04/1910,51.52236048,-0.173944729,FALSE,TRUE
1306,673129,West London Rehab Centre,103 Fore Street,West London ,W3,W3 0AQ,GreaterLondon,(01234) 123558,Non_Profit,13/04/1910,51.52097816,-0.274496724,FALSE,TRUE
1307,673130,West London Rehab Centre,104 Fore Street,West London ,W4,W4 1AP,GreaterLondon,(01234) 123559,Non_Profit,14/04/1910,51.50251606,-0.256203835,FALSE,TRUE
1308,673131,West London Rehab Centre,105 Fore Street,West London ,W5,W5 1AQ,GreaterLondon,(01234) 123560,Non_Profit,15/04/1910,51.52963267,-0.302498849,FALSE,TRUE
1309,673132,West London Rehab Centre,106 Fore Street,West London ,W6,W6 0AQ,GreaterLondon,(01234) 123561,Non_Profit,16/04/1910,51.50035394,-0.229531106,FALSE,TRUE
1310,673133,West London Rehab Centre,107 Fore Street,West London ,W7,W7 1JP,GreaterLondon,(01234) 123562,Non_Profit,17/04/1910,51.52582799,-0.335061251,FALSE,TRUE
1311,673134,West London Rehab Centre,108 Fore Street,West London ,W8,W8 4AQ,GreaterLondon,(01234) 123563,Non_Profit,18/04/1910,51.50528671,-0.19154407,FALSE,TRUE
1312,673135,West London Rehab Centre,109 Fore Street,West London ,W9,W9 1AW,GreaterLondon,(01234) 123564,Non_Profit,19/04/1910,51.52403934,-0.180018,FALSE,TRUE
1313,673136,WarringtonRehab Centre,110 Fore Street,Warrington,WA,WA1 1ED,Cheshire,(01234) 123565,Non_Profit,20/04/1910,53.3878778,-2.594692307,FALSE,TRUE
1314,673137,West Central LondonRehab Centre,111 Fore Street,West Central London,WC,WC1A 1HB,GreaterLondon,(01234) 123566,Non_Profit,21/04/1910,51.516846,-0.128115,FALSE,TRUE
1315,673138,WatfordRehab Centre,112 Fore Street,Watford,WD,WD17 1BN,Hertfordshire,(01234) 123567,Non_Profit,22/04/1910,51.66108957,-0.40049238,FALSE,TRUE
1316,673139,WakefieldRehab Centre,113 Fore Street,Wakefield,WF,WF1 1DR,WestYorkshire,(01234) 123568,Non_Profit,23/04/1910,53.679835,-1.501379,FALSE,TRUE
1317,673140,WiganRehab Centre,114 Fore Street,Wigan,WN,WN1 1AZ,GreaterManchester,(01234) 123569,Non_Profit,24/04/1910,53.54583508,-2.629669137,FALSE,TRUE
1318,673141,WorcesterRehab Centre,115 Fore Street,Worcester,WR,WR1 1EE,Worcestershire,(01234) 123570,Non_Profit,25/04/1910,52.19584041,-2.222843393,FALSE,TRUE
1319,673142,WalsallRehab Centre,116 Fore Street,Walsall,WS,WS1 1ER,WestMidlands,(01234) 123571,Non_Profit,26/04/1910,52.58457523,-1.983589,FALSE,TRUE
1320,673143,WolverhamptonRehab Centre,117 Fore Street,Wolverhampton,WV,WV1 1ES,WestMidlands,(01234) 123572,Non_Profit,27/04/1910,52.58541838,-2.124792,FALSE,TRUE
1321,673144,YorkRehab Centre,118 Fore Street,York,YO,YO1 0SQ,NorthYorkshire,(01234) 123573,Non_Profit,28/04/1910,53.95963181,-1.0856321,FALSE,TRUE
1322,673145,LerwickRehab Centre,119 Fore Street,Lerwick,ZE,ZE1 0AT,Shetland,(01234) 123574,Non_Profit,29/04/1910,60.15060807,-1.142888226,FALSE,TRUE
