,id,name,address,city,state,zip,phone,county,ownership,beds,Provider Type,startdate,LAT,LON
15734,676382,Swindon Centre,84 Fore Street,Swindon,SN,SN1 1BL,(01234) 123539,Wiltshire,Government,185,Medicare,14/03/1910,51.561975,-1.786624
15735,676383,Southampton Centre,85 Fore Street,Southampton,SO,SO14 0AP,(01234) 123540,Hampshire,Government,186,Medicare,15/03/1910,50.91112558,-1.398131112
15736,676384,Salisbury Centre,86 Fore Street,Salisbury,SP,SP1 1BT,(01234) 123541,Wiltshire,Government,187,Medicare,16/03/1910,51.0696397,-1.797270611
15737,676385,Sunderland Centre,87 Fore Street,Sunderland,SR,SR1 1EA,(01234) 123542,TyneAndWear,Government,188,Medicare,17/03/1910,54.907177,-1.378205
15738,676386,Southend-on-Sea Centre,88 Fore Street,Southend-on-Sea,SS,SS0 0AL,(01234) 123543,Essex,Government,189,Medicare,18/03/1910,51.55546561,0.679119396
15739,676387,Stoke-on-Trent Centre,89 Fore Street,Stoke-on-Trent,ST,ST1 1DR,(01234) 123544,Staffordshire,Government,190,Medicare,19/03/1910,53.02514251,-2.177764367
15740,676388,South West London Centre,90 Fore Street,South West London,SW,SW10 0AR,(01234) 123545,GreaterLondon,Government,191,Medicare,20/03/1910,51.485023,-0.179614
15741,676389,Shrewsbury Centre,91 Fore Street,Shrewsbury,SY,SY1 1DL,(01234) 123546,Shropshire,Government,192,Medicare,21/03/1910,52.70861159,-2.7506812
15742,676390,Taunton Centre,92 Fore Street,Taunton,TA,TA1 1BH,(01234) 123547,Somerset,Government,193,Medicare,22/03/1910,51.02269464,-3.10823
15743,676391,Galashiels Centre,93 Fore Street,Galashiels,TD,TD1 1DU,(01234) 123548,Roxburgh,Government,194,Medicare,23/03/1910,55.61543127,-2.812145
15744,676392,Telford Centre,94 Fore Street,Telford,TF,TF1 1DD,(01234) 123549,Shropshire,Government,195,Medicare,24/03/1910,52.70189545,-2.519273834
15745,676393,Tonbridge Centre,95 Fore Street,Tonbridge,TN,TN1 1DG,(01234) 123550,Kent,Government,196,Medicare,25/03/1910,51.12727396,0.259921652
15746,676394,Torquay Centre,96 Fore Street,Torquay,TQ,TQ1 1DD,(01234) 123551,Devon,Government,197,Medicare,26/03/1910,50.46197025,-3.523943679
15747,676395,Truro Centre,97 Fore Street,Truro,TR,TR1 1BY,(01234) 123552,Cornwall,Government,198,Medicare,27/03/1910,50.27052113,-5.048427012
15748,676396,Cleveland Centre,98 Fore Street,Cleveland,TS,TS1 1HG,(01234) 123553,NorthYorkshire,Government,199,Medicare,28/03/1910,54.578368,-1.231993
15749,676397,Twickenham Centre,99 Fore Street,Twickenham,TW,TW1 1BA,(01234) 123554,Middlesex,Government,200,Medicare,29/03/1910,51.45286834,-0.33092348
15750,676398,Southall Centre,100 Fore Street,Southall,UB,UB1 1BF,(01234) 123555,GreaterLondon,Government,201,Medicare,30/03/1910,51.51604468,-0.383296458
15751,676399,West London  Centre,101 Fore Street,West London ,W1,W10 4AQ,(01234) 123556,GreaterLondon,Government,202,Medicare,31/03/1910,51.53204088,-0.21395628
15752,676400,West London  Centre,102 Fore Street,West London ,W2,W2 1BS,(01234) 123557,GreaterLondon,Government,203,Medicare,01/04/1910,51.52236048,-0.173944729
15753,676401,West London  Centre,103 Fore Street,West London ,W3,W3 0AQ,(01234) 123558,GreaterLondon,Government,204,Medicare,02/04/1910,51.52097816,-0.274496724
15754,676402,West London  Centre,104 Fore Street,West London ,W4,W4 1AP,(01234) 123559,GreaterLondon,Government,205,Medicare,03/04/1910,51.50251606,-0.256203835
15755,676403,West London  Centre,105 Fore Street,West London ,W5,W5 1AQ,(01234) 123560,GreaterLondon,Government,206,Medicare,04/04/1910,51.52963267,-0.302498849
15756,676404,West London  Centre,106 Fore Street,West London ,W6,W6 0AQ,(01234) 123561,GreaterLondon,Government,207,Medicare,05/04/1910,51.50035394,-0.229531106
15757,676405,West London  Centre,107 Fore Street,West London ,W7,W7 1JP,(01234) 123562,GreaterLondon,Government,208,Medicare,06/04/1910,51.52582799,-0.335061251
15758,676406,West London  Centre,108 Fore Street,West London ,W8,W8 4AQ,(01234) 123563,GreaterLondon,Government,209,Medicare,07/04/1910,51.50528671,-0.19154407
15759,676407,West London  Centre,109 Fore Street,West London ,W9,W9 1AW,(01234) 123564,GreaterLondon,Government,210,Medicare,08/04/1910,51.52403934,-0.180018
15760,676408,Warrington Centre,110 Fore Street,Warrington,WA,WA1 1ED,(01234) 123565,Cheshire,Government,211,Medicare,09/04/1910,53.3878778,-2.594692307
15761,676409,West Central London Centre,111 Fore Street,West Central London,WC,WC1A 1HB,(01234) 123566,GreaterLondon,Government,212,Medicare,10/04/1910,51.516846,-0.128115
15762,676410,Watford Centre,112 Fore Street,Watford,WD,WD17 1BN,(01234) 123567,Hertfordshire,Government,213,Medicare,11/04/1910,51.66108957,-0.40049238
15763,676411,Wakefield Centre,113 Fore Street,Wakefield,WF,WF1 1DR,(01234) 123568,WestYorkshire,Government,214,Medicare,12/04/1910,53.679835,-1.501379
15764,676412,Wigan Centre,114 Fore Street,Wigan,WN,WN1 1AZ,(01234) 123569,GreaterManchester,Government,215,Medicare,13/04/1910,53.54583508,-2.629669137
15765,676413,Worcester Centre,115 Fore Street,Worcester,WR,WR1 1EE,(01234) 123570,Worcestershire,Government,216,Medicare,14/04/1910,52.19584041,-2.222843393
15766,676414,Walsall Centre,116 Fore Street,Walsall,WS,WS1 1ER,(01234) 123571,WestMidlands,Government,217,Medicare,15/04/1910,52.58457523,-1.983589
15767,676415,Wolverhampton Centre,117 Fore Street,Wolverhampton,WV,WV1 1ES,(01234) 123572,WestMidlands,Government,218,Medicare,16/04/1910,52.58541838,-2.124792
15768,676416,York Centre,118 Fore Street,York,YO,YO1 0SQ,(01234) 123573,NorthYorkshire,Government,219,Medicare,17/04/1910,53.95963181,-1.0856321
15769,676417,Lerwick Centre,119 Fore Street,Lerwick,ZE,ZE1 0AT,(01234) 123574,Shetland,Government,220,Medicare,18/04/1910,60.15060807,-1.142888226
