,id,name,quality,address,city,state,zip,phone,ownership,startdate,LAT,LON
7039,12325,Ipswich Dialysis,3,9 Fore Street,Ipswich,IP,IP1 1BE,(01234) 123464,Non-Profit,01/01/1910,52.05721264,1.153367828
7040,12326,Inverness Dialysis,3,10 Fore Street,Inverness,IV,IV1 1DN,(01234) 123465,Non-Profit,01/01/1910,57.47961075,-4.226781688
7041,12327,Kilmarnock Dialysis,3,11 Fore Street,Kilmarnock,KA,KA1 1DD,(01234) 123466,Non-Profit,01/01/1910,55.61094806,-4.498642159
7042,12328,Cobham Dialysis ,3,12 Fore Street,Cobham,KT,KT1 1DJ,(01234) 123467,Non-Profit,01/01/1910,51.41006342,-0.302056149
7043,12329,Huddersfield Dialysis,3,1 Fore Street,Huddersfield,HD,HD1 1BL,(01234) 123456,Non-Profit,02/01/1910,53.64758866,-1.782909771
7044,12330,Harrogate Dialysis,3,2 Fore Street,Harrogate,HG,HG1 1AG,(01234) 123457,Non-Profit,03/01/1910,53.9930446,-1.53895146
7045,12331,Hemel Hempstead Dialysis,3,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,(01234) 123458,Non-Profit,04/01/1910,51.750132,-0.473111551
7046,12332,Outer Hebrides Dialysis,3,4 Fore Street,Outer Hebrides,HS,HS1 2AE,(01234) 123459,Non-Profit,05/01/1910,58.20682213,-6.386585758
7047,12333,Hereford Dialysis,3,5 Fore Street,Hereford,HR,HR1 1AW,(01234) 123460,Non-Profit,06/01/1910,52.07007264,-2.706133672
7048,12334,Hull Dialysis,3,6 Fore Street,Hull,HU,HU1 1HT,(01234) 123461,Non-Profit,07/01/1910,53.742743,-0.333821105
7049,12335,Halifax Dialysis,3,7 Fore Street,Halifax,HX,HX1 1DD,(01234) 123462,Non-Profit,08/01/1910,53.721236,-1.859393
7050,12336,Ilford Dialysis,3,8 Fore Street,Ilford,IL,IG1 1BN,(01234) 123463,Non-Profit,09/01/1910,51.55868348,0.072571
7051,12337,Ipswich Dialysis,3,9 Fore Street,Ipswich,IP,IP1 1BE,(01234) 123464,Non-Profit,10/01/1910,52.05721264,1.153367828
7052,12338,Inverness Dialysis,3,10 Fore Street,Inverness,IV,IV1 1DN,(01234) 123465,Non-Profit,11/01/1910,57.47961075,-4.226781688
7053,12339,Kilmarnock Dialysis,3,11 Fore Street,Kilmarnock,KA,KA1 1DD,(01234) 123466,Non-Profit,12/01/1910,55.61094806,-4.498642159
7054,12340,Cobham Dialysis,3,12 Fore Street,Cobham,KT,KT1 1DJ,(01234) 123467,Non-Profit,13/01/1910,51.41006342,-0.302056149
7055,12341,Kirkwall Dialysis,3,13 Fore Street,Kirkwall,KW,KW1 4AP,(01234) 123468,Non-Profit,14/01/1910,58.44151124,-3.092934153
7056,12342,Kirkcaldy Dialysis,3,14 Fore Street,Kirkcaldy,KY,KY1 1AB,(01234) 123469,Non-Profit,15/01/1910,56.09885556,-3.166243041
7057,12343,Liverpool Dialysis,3,15 Fore Street,Liverpool,L1,L1 0AJ,(01234) 123470,Non-Profit,16/01/1910,53.39674185,-2.983409234
7058,12344,Liverpool Dialysis,3,16 Fore Street,Liverpool,L2,L2 0QD,(01234) 123471,Non-Profit,17/01/1910,53.40611099,-2.992861487
7059,12345,Liverpool Dialysis,3,17 Fore Street,Liverpool,L3,L3 1DX,(01234) 123472,Non-Profit,18/01/1910,53.412555,-2.999556
7060,12346,Liverpool Dialysis,3,18 Fore Street,Liverpool,L4,L4 0RQ,(01234) 123473,Non-Profit,19/01/1910,53.42960701,-2.961125079
7061,12347,Liverpool Dialysis,3,19 Fore Street,Liverpool,L5,L5 0PJ,(01234) 123474,Non-Profit,20/01/1910,53.42657561,-2.970282175
7062,12348,Liverpool Dialysis,3,20 Fore Street,Liverpool,L6,L6 0AH,(01234) 123475,Non-Profit,21/01/1910,53.426537,-2.950596
7063,12349,Liverpool Dialysis,3,21 Fore Street,Liverpool,L7,L7 0ED,(01234) 123476,Non-Profit,22/01/1910,53.410213,-2.946065
7064,12350,Liverpool Dialysis,3,22 Fore Street,Liverpool,L8,L8 0HA,(01234) 123477,Non-Profit,23/01/1910,53.39165898,-2.952886351
7065,12351,Liverpool Dialysis,3,23 Fore Street,Liverpool,L9,L9 0EG,(01234) 123478,Non-Profit,24/01/1910,53.46404675,-2.95722
7066,12352,Lancaster Dialysis,3,24 Fore Street,Lancaster,LA,LA1 1AB,(01234) 123479,Non-Profit,25/01/1910,54.047941,-2.804344262
7067,12353,Llandrindod Wells Dialysis,3,25 Fore Street,Llandrindod Wells,LD,LD1 5AB,(01234) 123480,Non-Profit,26/01/1910,52.25303128,-3.370459366
7068,12354,Leicester Dialysis,3,26 Fore Street,Leicester,LE,LE1 1DD,(01234) 123481,Non-Profit,27/01/1910,52.635039,-1.131614
7069,12355,Llandudno Dialysis,3,27 Fore Street,Llandudno,LL,LL11 0BY,(01234) 123482,Non-Profit,28/01/1910,53.04889153,-3.000084772
7070,12356,Lincoln Dialysis,3,28 Fore Street,Lincoln,LN,LN1 1AD,(01234) 123483,Non-Profit,29/01/1910,53.24583697,-0.556349815
7071,12357,Leeds Dialysis,3,29 Fore Street,Leeds,LS,LS1 4WL,(01234) 123484,Non-Profit,30/01/1910,53.7963037,-1.564125592
7072,12358,Luton Dialysis,3,30 Fore Street,Luton,LU,LU1 1BE,(01234) 123485,Non-Profit,31/01/1910,51.88092123,-0.423706923
7073,12359,Manchester Dialysis,3,31 Fore Street,Manchester,M1,M1 1AD,(01234) 123486,Non-Profit,01/02/1910,53.48384685,-2.244839
7074,12360,Manchester Dialysis,3,32 Fore Street,Manchester,M2,M2 1BB,(01234) 123487,Non-Profit,02/02/1910,53.48166073,-2.241752576
7075,12361,Manchester Dialysis,3,33 Fore Street,Manchester,M3,M3 1EB,(01234) 123488,Non-Profit,03/02/1910,53.491094,-2.24883
7076,12362,Manchester Dialysis,3,34 Fore Street,Manchester,M4,M4 1BE,(01234) 123489,Non-Profit,04/02/1910,53.48509517,-2.236844275
7077,12363,Manchester Dialysis,3,35 Fore Street,Manchester,M5,M5 3AF,(01234) 123490,Non-Profit,05/02/1910,53.47643226,-2.281484136
7078,12364,Manchester Dialysis,3,36 Fore Street,Manchester,M6,M6 5AP,(01234) 123491,Non-Profit,06/02/1910,53.48581774,-2.280838026
7079,12365,Manchester Dialysis,3,37 Fore Street,Manchester,M7,M7 1BF,(01234) 123492,Non-Profit,07/02/1910,53.49063019,-2.267516191
7080,12366,Manchester Dialysis,3,38 Fore Street,Manchester,M8,M8 0AD,(01234) 123493,Non-Profit,08/02/1910,53.507303,-2.224846
7081,12367,Manchester Dialysis,3,39 Fore Street,Manchester,M9,M9 0GL,(01234) 123494,Non-Profit,09/02/1910,53.53793471,-2.233970779
7082,12368,Rochester Dialysis,3,40 Fore Street,Rochester,ME,ME1 1AG,(01234) 123495,Non-Profit,10/02/1910,51.38227962,0.505345352
7083,12369,Milton Keynes Dialysis,3,41 Fore Street,Milton Keynes,MK,MK1 1BP,(01234) 123496,Non-Profit,11/02/1910,52.00044423,-0.717705427
7084,12370,Motherwell Dialysis,3,42 Fore Street,Motherwell,ML,ML1 1BP,(01234) 123497,Non-Profit,12/02/1910,55.79477512,-3.996398212
7085,12371,North London  Dialysis,3,43 Fore Street,North London ,N1,N1 0AQ,(01234) 123498,Non-Profit,13/02/1910,51.53987847,-0.122151996
7086,12372,North London  Dialysis,3,44 Fore Street,North London ,N2,N2 0AE,(01234) 123499,Non-Profit,14/02/1910,51.58525083,-0.171467698
7087,12373,North London  Dialysis,3,45 Fore Street,North London ,N3,N3 1AP,(01234) 123500,Non-Profit,15/02/1910,51.60988221,-0.194207244
7088,12374,North London  Dialysis,3,46 Fore Street,North London ,N4,N4 1AE,(01234) 123501,Non-Profit,16/02/1910,51.57818483,-0.100266693
7089,12375,North London  Dialysis,3,47 Fore Street,North London ,N5,N5 1AG,(01234) 123502,Non-Profit,17/02/1910,51.55507036,-0.101143397
7090,12376,North London  Dialysis,3,48 Fore Street,North London ,N6,N6 4AG,(01234) 123503,Non-Profit,18/02/1910,51.57467735,-0.15636
7091,12377,North London  Dialysis,3,49 Fore Street,North London ,N7,N7 0AH,(01234) 123504,Non-Profit,19/02/1910,51.55672256,-0.131801599
7092,12378,North London  Dialysis,3,50 Fore Street,North London ,N8,N8 0AJ,(01234) 123505,Non-Profit,20/02/1910,51.58368924,-0.104223091
7093,12379,North London  Dialysis,3,51 Fore Street,North London ,N9,N9 0AT,(01234) 123506,Non-Profit,21/02/1910,51.62609753,-0.032628926
7094,12380,Newcastle Upon Tyne Dialysis,3,52 Fore Street,Newcastle Upon Tyne,NE,NE1 1EZ,(01234) 123507,Non-Profit,22/02/1910,54.97154764,-1.612547907
7095,12381,Nottingham Dialysis,3,53 Fore Street,Nottingham,NG,NG1 1BZ,(01234) 123508,Non-Profit,23/02/1910,52.95604869,-1.140905729
7096,12382,Northampton Dialysis,3,54 Fore Street,Northampton,NN,NN1 1DD,(01234) 123509,Non-Profit,24/02/1910,52.23627951,-0.894601704
7097,12383,Newport Dialysis,3,55 Fore Street,Newport,NP,NP10 0AN,(01234) 123510,Non-Profit,25/02/1910,51.59418615,-3.053384065
7098,12384,Norwich Dialysis,3,56 Fore Street,Norwich,NR,NR1 1BG,(01234) 123511,Non-Profit,26/02/1910,52.62928498,1.300921057
7099,12385,North West London Dialysis,3,57 Fore Street,North West London,NW,NW1 0BH,(01234) 123512,Non-Profit,27/02/1910,51.53993475,-0.13413311
7100,12386,Oldham Dialysis,3,58 Fore Street,Oldham,OL,OL1 1BD,(01234) 123513,Non-Profit,28/02/1910,53.53956427,-2.115408914
7101,12387,Oxford Dialysis,3,59 Fore Street,Oxford,OX,OX1 1AW,(01234) 123514,Non-Profit,01/03/1910,51.74879097,-1.258713267
7102,12388,Paisley Dialysis,3,60 Fore Street,Paisley,PA,PA1 1BX,(01234) 123515,Non-Profit,02/03/1910,55.84645074,-4.4253291
7103,12389,Peterborough Dialysis,3,61 Fore Street,Peterborough,PE,PE1 1DP,(01234) 123516,Non-Profit,03/03/1910,52.57143714,-0.242615
7104,12390,Perth Dialysis,3,62 Fore Street,Perth,PH,PH1 1BP,(01234) 123517,Non-Profit,04/03/1910,56.39051623,-3.456193905
7105,12391,Plymouth Dialysis,3,63 Fore Street,Plymouth,PL,PL1 1DP,(01234) 123518,Non-Profit,05/03/1910,50.371173,-4.138759
7106,12392,Portsmouth Dialysis,3,64 Fore Street,Portsmouth,PO,PO1 1BJ,(01234) 123519,Non-Profit,06/03/1910,50.80006156,-1.07887567
7107,12393,Preston Dialysis,3,65 Fore Street,Preston,PR,PR1 0AJ,(01234) 123520,Non-Profit,07/03/1910,53.75226932,-2.725233339
7108,12394,Reading Dialysis,3,66 Fore Street,Reading,RG,RG1 1DX,(01234) 123521,Non-Profit,08/03/1910,51.45693188,-0.97403499
7109,12395,Redhill Dialysis,3,67 Fore Street,Redhill,RH,RH1 1AT,(01234) 123522,Non-Profit,09/03/1910,51.24248652,-0.163301677
7110,12396,Romford Dialysis,3,68 Fore Street,Romford,RM,RM1 1AU,(01234) 123523,Non-Profit,10/03/1910,51.57595201,0.180118
7111,12397,Sheffield Dialysis,3,69 Fore Street,Sheffield,S1,S1 1GS,(01234) 123524,Non-Profit,11/03/1910,53.38154939,-1.464295
7112,12398,Sheffield Dialysis,3,70 Fore Street,Sheffield,S2,S2 1BD,(01234) 123525,Non-Profit,12/03/1910,53.36976716,-1.417880803
7113,12399,Sheffield Dialysis,3,71 Fore Street,Sheffield,S3,S3 7AP,(01234) 123526,Non-Profit,13/03/1910,53.384084,-1.481567
7114,12400,Sheffield Dialysis,3,72 Fore Street,Sheffield,S4,S4 7AS,(01234) 123527,Non-Profit,14/03/1910,53.40200525,-1.453087462
7115,12401,Sheffield Dialysis,3,73 Fore Street,Sheffield,S5,S5 0AW,(01234) 123528,Non-Profit,15/03/1910,53.43271698,-1.450586247
7116,12402,Sheffield Dialysis,3,74 Fore Street,Sheffield,S6,S6 1AP,(01234) 123529,Non-Profit,16/03/1910,53.43346252,-1.495310428
7117,12403,Sheffield Dialysis,3,75 Fore Street,Sheffield,S7,S7 1DA,(01234) 123530,Non-Profit,17/03/1910,53.36567092,-1.47876939
7118,12404,Sheffield Dialysis,3,76 Fore Street,Sheffield,S8,S8 0BH,(01234) 123531,Non-Profit,18/03/1910,53.335716,-1.490067
7119,12405,Sheffield Dialysis,3,77 Fore Street,Sheffield,S9,S9 1AQ,(01234) 123532,Non-Profit,19/03/1910,53.41462845,-1.425031953
7120,12406,Swansea Dialysis,3,78 Fore Street,Swansea,SA,SA1 1DP,(01234) 123533,Non-Profit,20/03/1910,51.619758,-3.939351
7121,12407,South East London Dialysis,3,79 Fore Street,South East London,SE,SE1 0AL,(01234) 123534,Non-Profit,21/03/1910,51.50475637,-0.096103121
7122,12408,Stevenage Dialysis,3,80 Fore Street,Stevenage,SG,SG1 1DS,(01234) 123535,Non-Profit,22/03/1910,51.90337926,-0.201489032
7123,12409,Stockport Dialysis,3,81 Fore Street,Stockport,SK,SK1 1ED,(01234) 123536,Non-Profit,23/03/1910,53.40756018,-2.161561721
7124,12410,Slough Dialysis,3,82 Fore Street,Slough,SL,SL0 0AT,(01234) 123537,Non-Profit,24/03/1910,51.52713771,-0.507918367
7125,12411,Sutton Dialysis,3,83 Fore Street,Sutton,SM,SM1 1BS,(01234) 123538,Non-Profit,25/03/1910,51.360305,-0.19364051
7126,12412,Swindon Dialysis,3,84 Fore Street,Swindon,SN,SN1 1BL,(01234) 123539,Non-Profit,26/03/1910,51.561975,-1.786624
7127,12413,Southampton Dialysis,3,85 Fore Street,Southampton,SO,SO14 0AP,(01234) 123540,Non-Profit,27/03/1910,50.91112558,-1.398131112
7128,12414,Salisbury Dialysis,3,86 Fore Street,Salisbury,SP,SP1 1BT,(01234) 123541,Non-Profit,28/03/1910,51.0696397,-1.797270611
7129,12415,Sunderland Dialysis,3,87 Fore Street,Sunderland,SR,SR1 1EA,(01234) 123542,Non-Profit,29/03/1910,54.907177,-1.378205
7130,12416,Southend-on-Sea Dialysis,3,88 Fore Street,Southend-on-Sea,SS,SS0 0AL,(01234) 123543,Non-Profit,30/03/1910,51.55546561,0.679119396
7131,12417,Stoke-on-Trent Dialysis,3,89 Fore Street,Stoke-on-Trent,ST,ST1 1DR,(01234) 123544,Non-Profit,31/03/1910,53.02514251,-2.177764367
7132,12418,South West London Dialysis,3,90 Fore Street,South West London,SW,SW10 0AR,(01234) 123545,Non-Profit,01/04/1910,51.485023,-0.179614
7133,12419,Shrewsbury Dialysis,3,91 Fore Street,Shrewsbury,SY,SY1 1DL,(01234) 123546,Non-Profit,02/04/1910,52.70861159,-2.7506812
7134,12420,Taunton Dialysis,3,92 Fore Street,Taunton,TA,TA1 1BH,(01234) 123547,Non-Profit,03/04/1910,51.02269464,-3.10823
7135,12421,Galashiels Dialysis,3,93 Fore Street,Galashiels,TD,TD1 1DU,(01234) 123548,Non-Profit,04/04/1910,55.61543127,-2.812145
7136,12422,Telford Dialysis,3,94 Fore Street,Telford,TF,TF1 1DD,(01234) 123549,Non-Profit,05/04/1910,52.70189545,-2.519273834
7137,12423,Tonbridge Dialysis,3,95 Fore Street,Tonbridge,TN,TN1 1DG,(01234) 123550,Non-Profit,06/04/1910,51.12727396,0.259921652
7138,12424,Torquay Dialysis,3,96 Fore Street,Torquay,TQ,TQ1 1DD,(01234) 123551,Non-Profit,07/04/1910,50.46197025,-3.523943679
7139,12425,Truro Dialysis,3,97 Fore Street,Truro,TR,TR1 1BY,(01234) 123552,Non-Profit,08/04/1910,50.27052113,-5.048427012
7140,12426,Cleveland Dialysis,3,98 Fore Street,Cleveland,TS,TS1 1HG,(01234) 123553,Non-Profit,09/04/1910,54.578368,-1.231993
7141,12427,Twickenham Dialysis,3,99 Fore Street,Twickenham,TW,TW1 1BA,(01234) 123554,Non-Profit,10/04/1910,51.45286834,-0.33092348
7142,12428,Southall Dialysis,3,100 Fore Street,Southall,UB,UB1 1BF,(01234) 123555,Non-Profit,11/04/1910,51.51604468,-0.383296458
7143,12429,West London  Dialysis,3,101 Fore Street,West London ,W1,W10 4AQ,(01234) 123556,Non-Profit,12/04/1910,51.53204088,-0.21395628
7144,12430,West London  Dialysis,3,102 Fore Street,West London ,W2,W2 1BS,(01234) 123557,Non-Profit,13/04/1910,51.52236048,-0.173944729
7145,12431,West London  Dialysis,3,103 Fore Street,West London ,W3,W3 0AQ,(01234) 123558,Non-Profit,14/04/1910,51.52097816,-0.274496724
7146,12432,West London  Dialysis,3,104 Fore Street,West London ,W4,W4 1AP,(01234) 123559,Non-Profit,15/04/1910,51.50251606,-0.256203835
7147,12433,West London  Dialysis,3,105 Fore Street,West London ,W5,W5 1AQ,(01234) 123560,Non-Profit,16/04/1910,51.52963267,-0.302498849
7148,12434,West London  Dialysis,3,106 Fore Street,West London ,W6,W6 0AQ,(01234) 123561,Non-Profit,17/04/1910,51.50035394,-0.229531106
7149,12435,West London  Dialysis,3,107 Fore Street,West London ,W7,W7 1JP,(01234) 123562,Non-Profit,18/04/1910,51.52582799,-0.335061251
7150,12436,West London  Dialysis,3,108 Fore Street,West London ,W8,W8 4AQ,(01234) 123563,Non-Profit,19/04/1910,51.50528671,-0.19154407
7151,12437,West London  Dialysis,3,109 Fore Street,West London ,W9,W9 1AW,(01234) 123564,Non-Profit,20/04/1910,51.52403934,-0.180018
7152,12438,Warrington Dialysis,3,110 Fore Street,Warrington,WA,WA1 1ED,(01234) 123565,Non-Profit,21/04/1910,53.3878778,-2.594692307
7153,12439,West Central London Dialysis,3,111 Fore Street,West Central London,WC,WC1A 1HB,(01234) 123566,Non-Profit,22/04/1910,51.516846,-0.128115
7154,12440,Watford Dialysis,3,112 Fore Street,Watford,WD,WD17 1BN,(01234) 123567,Non-Profit,23/04/1910,51.66108957,-0.40049238
7155,12441,Wakefield Dialysis,3,113 Fore Street,Wakefield,WF,WF1 1DR,(01234) 123568,Non-Profit,24/04/1910,53.679835,-1.501379
7156,12442,Wigan Dialysis,3,114 Fore Street,Wigan,WN,WN1 1AZ,(01234) 123569,Non-Profit,25/04/1910,53.54583508,-2.629669137
7157,12443,Worcester Dialysis,3,115 Fore Street,Worcester,WR,WR1 1EE,(01234) 123570,Non-Profit,26/04/1910,52.19584041,-2.222843393
7158,12444,Walsall Dialysis,3,116 Fore Street,Walsall,WS,WS1 1ER,(01234) 123571,Non-Profit,27/04/1910,52.58457523,-1.983589
7159,12445,Wolverhampton Dialysis,3,117 Fore Street,Wolverhampton,WV,WV1 1ES,(01234) 123572,Non-Profit,28/04/1910,52.58541838,-2.124792
7160,12446,York Dialysis,3,118 Fore Street,York,YO,YO1 0SQ,(01234) 123573,Non-Profit,29/04/1910,53.95963181,-1.0856321
7161,12447,Lerwick Dialysis,3,119 Fore Street,Lerwick,ZE,ZE1 0AT,(01234) 123574,Non-Profit,30/04/1910,60.15060807,-1.142888226
