,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
4820,4011,Hull Urgent Care,6 Fore Street,Hull,HU,HU1 1HT,East Riding,(01234) 123461,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,53.742743,-0.333821105
4821,4012,Halifax Urgent Care,7 Fore Street,Halifax,HX,HX1 1DD,West Yorkshire,(01234) 123462,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,53.721236,-1.859393
4822,4013,Ilford Urgent Care,8 Fore Street,Ilford,IL,IG1 1BN,Essex,(01234) 123463,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,51.55868348,0.072571
4823,4014,Ipswich Urgent Care,9 Fore Street,Ipswich,IP,IP1 1BE,Suffolk,(01234) 123464,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,52.05721264,1.153367828
4824,4015,Inverness Urgent Care,10 Fore Street,Inverness,IV,IV1 1DN,Invernesshire,(01234) 123465,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,57.47961075,-4.226781688
4825,4016,Kilmarnock Urgent Care,11 Fore Street,Kilmarnock,KA,KA1 1DD,East Ayrshire,(01234) 123466,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,55.61094806,-4.498642159
4826,4017,Cobham Urgent Care,12 Fore Street,Cobham,KT,KT1 1DJ,Surrey,(01234) 123467,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,51.41006342,-0.302056149
4827,4018,Kirkwall Urgent Care,13 Fore Street,Kirkwall,KW,KW1 4AP,Highland,(01234) 123468,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,58.44151124,-3.092934153
4828,4019,Kirkcaldy Urgent Care,14 Fore Street,Kirkcaldy,KY,KY1 1AB,Fife,(01234) 123469,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,56.09885556,-3.166243041
4829,4020,Liverpool Urgent Care,15 Fore Street,Liverpool,L1,L1 0AJ,Merseyside,(01234) 123470,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.39674185,-2.983409234
4830,4021,Liverpool Urgent Care,16 Fore Street,Liverpool,L2,L2 0QD,Merseyside,(01234) 123471,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.40611099,-2.992861487
4831,4022,Liverpool Urgent Care,17 Fore Street,Liverpool,L3,L3 1DX,Merseyside,(01234) 123472,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.412555,-2.999556
4832,4023,Liverpool Urgent Care,18 Fore Street,Liverpool,L4,L4 0RQ,Merseyside,(01234) 123473,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.42960701,-2.961125079
4833,4024,Liverpool Urgent Care,19 Fore Street,Liverpool,L5,L5 0PJ,Merseyside,(01234) 123474,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.42657561,-2.970282175
4834,4025,Liverpool Urgent Care,20 Fore Street,Liverpool,L6,L6 0AH,Merseyside,(01234) 123475,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.426537,-2.950596
4835,4026,Liverpool Urgent Care,21 Fore Street,Liverpool,L7,L7 0ED,Merseyside,(01234) 123476,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.410213,-2.946065
4836,4027,Liverpool Urgent Care,22 Fore Street,Liverpool,L8,L8 0HA,Merseyside,(01234) 123477,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.39165898,-2.952886351
4837,4028,Liverpool Urgent Care,23 Fore Street,Liverpool,L9,L9 0EG,Merseyside,(01234) 123478,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.46404675,-2.95722
4838,4029,Lancaster Urgent Care,24 Fore Street,Lancaster,LA,LA1 1AB,Lancashire,(01234) 123479,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,54.047941,-2.804344262
4839,4030,Llandrindod Wells Urgent Care,25 Fore Street,Llandrindod Wells,LD,LD1 5AB,Powys,(01234) 123480,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.25303128,-3.370459366
4840,4031,Leicester Urgent Care,26 Fore Street,Leicester,LE,LE1 1DD,Leicestershire,(01234) 123481,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.635039,-1.131614
4841,4032,Llandudno Urgent Care,27 Fore Street,Llandudno,LL,LL11 0BY,Conwy,(01234) 123482,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.04889153,-3.000084772
4842,4033,Lincoln Urgent Care,28 Fore Street,Lincoln,LN,LN1 1AD,Lincolnshire,(01234) 123483,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.24583697,-0.556349815
4843,4034,Leeds Urgent Care,29 Fore Street,Leeds,LS,LS1 4WL,WestYorkshire,(01234) 123484,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.7963037,-1.564125592
4844,4035,Luton Urgent Care,30 Fore Street,Luton,LU,LU1 1BE,Bedfordshire,(01234) 123485,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.88092123,-0.423706923
4845,4036,Manchester Urgent Care,31 Fore Street,Manchester,M1,M1 1AD,Lancashire,(01234) 123486,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.48384685,-2.244839
4846,4037,Manchester Urgent Care,32 Fore Street,Manchester,M2,M2 1BB,Lancashire,(01234) 123487,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.48166073,-2.241752576
4847,4038,Manchester Urgent Care,33 Fore Street,Manchester,M3,M3 1EB,Lancashire,(01234) 123488,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.491094,-2.24883
4848,4039,Manchester Urgent Care,34 Fore Street,Manchester,M4,M4 1BE,Lancashire,(01234) 123489,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.48509517,-2.236844275
4849,4040,Manchester Urgent Care,35 Fore Street,Manchester,M5,M5 3AF,Lancashire,(01234) 123490,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.47643226,-2.281484136
4850,4041,Manchester Urgent Care,36 Fore Street,Manchester,M6,M6 5AP,Lancashire,(01234) 123491,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.48581774,-2.280838026
4851,4042,Manchester Urgent Care,37 Fore Street,Manchester,M7,M7 1BF,Lancashire,(01234) 123492,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.49063019,-2.267516191
4852,4043,Manchester Urgent Care,38 Fore Street,Manchester,M8,M8 0AD,Lancashire,(01234) 123493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.507303,-2.224846
4853,4044,Manchester Urgent Care,39 Fore Street,Manchester,M9,M9 0GL,Lancashire,(01234) 123494,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.53793471,-2.233970779
4854,4045,Rochester Urgent Care,40 Fore Street,Rochester,ME,ME1 1AG,Kent,(01234) 123495,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.38227962,0.505345352
4855,4046,Milton Keynes Urgent Care,41 Fore Street,Milton Keynes,MK,MK1 1BP,Buckinghamshire,(01234) 123496,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.00044423,-0.717705427
4856,4047,Motherwell Urgent Care,42 Fore Street,Motherwell,ML,ML1 1BP,Lanarkshire,(01234) 123497,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,55.79477512,-3.996398212
4857,4048,North London  Urgent Care,43 Fore Street,North London ,N1,N1 0AQ,Hertfordshire,(01234) 123498,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.53987847,-0.122151996
4858,4049,North London  Urgent Care,44 Fore Street,North London ,N2,N2 0AE,Hertfordshire,(01234) 123499,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.58525083,-0.171467698
4859,4050,North London  Urgent Care,45 Fore Street,North London ,N3,N3 1AP,Hertfordshire,(01234) 123500,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.60988221,-0.194207244
4860,4051,North London  Urgent Care,46 Fore Street,North London ,N4,N4 1AE,Hertfordshire,(01234) 123501,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.57818483,-0.100266693
4861,4052,North London  Urgent Care,47 Fore Street,North London ,N5,N5 1AG,Hertfordshire,(01234) 123502,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.55507036,-0.101143397
4862,4053,North London  Urgent Care,48 Fore Street,North London ,N6,N6 4AG,Hertfordshire,(01234) 123503,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.57467735,-0.15636
4863,4054,North London  Urgent Care,49 Fore Street,North London ,N7,N7 0AH,Hertfordshire,(01234) 123504,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.55672256,-0.131801599
4864,4055,North London  Urgent Care,50 Fore Street,North London ,N8,N8 0AJ,Hertfordshire,(01234) 123505,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.58368924,-0.104223091
4865,4056,North London  Urgent Care,51 Fore Street,North London ,N9,N9 0AT,Hertfordshire,(01234) 123506,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.62609753,-0.032628926
4866,4057,Newcastle Upon Tyne Urgent Care,52 Fore Street,Newcastle Upon Tyne,NE,NE1 1EZ,Northumberland,(01234) 123507,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,54.97154764,-1.612547907
4867,4058,Nottingham Urgent Care,53 Fore Street,Nottingham,NG,NG1 1BZ,Nottinghamshire,(01234) 123508,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.95604869,-1.140905729
4868,4059,Northampton Urgent Care,54 Fore Street,Northampton,NN,NN1 1DD,Northamptonshire,(01234) 123509,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.23627951,-0.894601704
4869,4060,Newport Urgent Care,55 Fore Street,Newport,NP,NP10 0AN,Monmouthshire,(01234) 123510,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.59418615,-3.053384065
4870,4061,Norwich Urgent Care,56 Fore Street,Norwich,NR,NR1 1BG,Norfolk,(01234) 123511,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.62928498,1.300921057
4871,4062,North West London Urgent Care,57 Fore Street,North West London,NW,NW1 0BH,Hertfordshire,(01234) 123512,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.53993475,-0.13413311
4872,4063,Oldham Urgent Care,58 Fore Street,Oldham,OL,OL1 1BD,GreaterManchester,(01234) 123513,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.53956427,-2.115408914
4873,4064,Oxford Urgent Care,59 Fore Street,Oxford,OX,OX1 1AW,Oxfordshire,(01234) 123514,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.74879097,-1.258713267
4874,4065,Paisley Urgent Care,60 Fore Street,Paisley,PA,PA1 1BX,Renfrewshire,(01234) 123515,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,55.84645074,-4.4253291
4875,4066,Peterborough Urgent Care,61 Fore Street,Peterborough,PE,PE1 1DP,Cambridgeshire,(01234) 123516,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.57143714,-0.242615
4876,4067,Perth Urgent Care,62 Fore Street,Perth,PH,PH1 1BP,Perthshire,(01234) 123517,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,56.39051623,-3.456193905
4877,4068,Plymouth Urgent Care,63 Fore Street,Plymouth,PL,PL1 1DP,Devon,(01234) 123518,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,50.371173,-4.138759
4878,4069,Portsmouth Urgent Care,64 Fore Street,Portsmouth,PO,PO1 1BJ,Hampshire,(01234) 123519,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,50.80006156,-1.07887567
4879,4070,Preston Urgent Care,65 Fore Street,Preston,PR,PR1 0AJ,Lancashire,(01234) 123520,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.75226932,-2.725233339
4880,4071,Reading Urgent Care,66 Fore Street,Reading,RG,RG1 1DX,Berkshire,(01234) 123521,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.45693188,-0.97403499
4881,4072,Redhill Urgent Care,67 Fore Street,Redhill,RH,RH1 1AT,Surrey,(01234) 123522,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.24248652,-0.163301677
4882,4073,Romford Urgent Care,68 Fore Street,Romford,RM,RM1 1AU,Essex,(01234) 123523,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.57595201,0.180118
4883,4074,Sheffield Urgent Care,69 Fore Street,Sheffield,S1,S1 1GS,SouthYorkshire ,(01234) 123524,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.38154939,-1.464295
4884,4075,Sheffield Urgent Care,70 Fore Street,Sheffield,S2,S2 1BD,SouthYorkshire ,(01234) 123525,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.36976716,-1.417880803
4885,4076,Sheffield Urgent Care,71 Fore Street,Sheffield,S3,S3 7AP,SouthYorkshire ,(01234) 123526,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.384084,-1.481567
4886,4077,Sheffield Urgent Care,72 Fore Street,Sheffield,S4,S4 7AS,SouthYorkshire ,(01234) 123527,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.40200525,-1.453087462
4887,4078,Sheffield Urgent Care,73 Fore Street,Sheffield,S5,S5 0AW,SouthYorkshire ,(01234) 123528,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.43271698,-1.450586247
4888,4079,Sheffield Urgent Care,74 Fore Street,Sheffield,S6,S6 1AP,SouthYorkshire ,(01234) 123529,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.43346252,-1.495310428
4889,4080,Sheffield Urgent Care,75 Fore Street,Sheffield,S7,S7 1DA,SouthYorkshire ,(01234) 123530,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.36567092,-1.47876939
4890,4081,Sheffield Urgent Care,76 Fore Street,Sheffield,S8,S8 0BH,SouthYorkshire ,(01234) 123531,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.335716,-1.490067
4891,4082,Sheffield Urgent Care,77 Fore Street,Sheffield,S9,S9 1AQ,SouthYorkshire ,(01234) 123532,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.41462845,-1.425031953
4892,4083,Swansea Urgent Care,78 Fore Street,Swansea,SA,SA1 1DP,Glamorgan,(01234) 123533,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.619758,-3.939351
4893,4084,South East London Urgent Care,79 Fore Street,South East London,SE,SE1 0AL,GreaterLondon,(01234) 123534,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.50475637,-0.096103121
4894,4085,Stevenage Urgent Care,80 Fore Street,Stevenage,SG,SG1 1DS,Hertfordshire,(01234) 123535,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.90337926,-0.201489032
4895,4086,Stockport Urgent Care,81 Fore Street,Stockport,SK,SK1 1ED,GreaterManchester,(01234) 123536,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.40756018,-2.161561721
4896,4087,Slough Urgent Care,82 Fore Street,Slough,SL,SL0 0AT,Buckinghamshire,(01234) 123537,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.52713771,-0.507918367
4897,4088,Sutton Urgent Care,83 Fore Street,Sutton,SM,SM1 1BS,GreaterLondon,(01234) 123538,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.360305,-0.19364051
4898,4089,Swindon Urgent Care,84 Fore Street,Swindon,SN,SN1 1BL,Wiltshire,(01234) 123539,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.561975,-1.786624
4899,4090,Southampton Urgent Care,85 Fore Street,Southampton,SO,SO14 0AP,Hampshire,(01234) 123540,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,50.91112558,-1.398131112
4900,4091,Salisbury Urgent Care,86 Fore Street,Salisbury,SP,SP1 1BT,Wiltshire,(01234) 123541,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.0696397,-1.797270611
4901,4092,Sunderland Urgent Care,87 Fore Street,Sunderland,SR,SR1 1EA,TyneAndWear,(01234) 123542,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,54.907177,-1.378205
4902,4093,Southend-on-Sea Urgent Care,88 Fore Street,Southend-on-Sea,SS,SS0 0AL,Essex,(01234) 123543,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.55546561,0.679119396
4903,4094,Stoke-on-Trent Urgent Care,89 Fore Street,Stoke-on-Trent,ST,ST1 1DR,Staffordshire,(01234) 123544,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,53.02514251,-2.177764367
4904,4095,South West London Urgent Care,90 Fore Street,South West London,SW,SW10 0AR,GreaterLondon,(01234) 123545,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.485023,-0.179614
4905,4096,Shrewsbury Urgent Care,91 Fore Street,Shrewsbury,SY,SY1 1DL,Shropshire,(01234) 123546,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.70861159,-2.7506812
4906,4097,Taunton Urgent Care,92 Fore Street,Taunton,TA,TA1 1BH,Somerset,(01234) 123547,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.02269464,-3.10823
4907,4098,Galashiels Urgent Care,93 Fore Street,Galashiels,TD,TD1 1DU,Roxburgh,(01234) 123548,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,55.61543127,-2.812145
4908,4099,Telford Urgent Care,94 Fore Street,Telford,TF,TF1 1DD,Shropshire,(01234) 123549,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,52.70189545,-2.519273834
4909,4100,Tonbridge Urgent Care,95 Fore Street,Tonbridge,TN,TN1 1DG,Kent,(01234) 123550,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.12727396,0.259921652
4910,4101,Torquay Urgent Care,96 Fore Street,Torquay,TQ,TQ1 1DD,Devon,(01234) 123551,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,50.46197025,-3.523943679
4911,4102,Truro Urgent Care,97 Fore Street,Truro,TR,TR1 1BY,Cornwall,(01234) 123552,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,50.27052113,-5.048427012
4912,4103,Cleveland Urgent Care,98 Fore Street,Cleveland,TS,TS1 1HG,NorthYorkshire,(01234) 123553,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,54.578368,-1.231993
4913,4104,Twickenham Urgent Care,99 Fore Street,Twickenham,TW,TW1 1BA,Middlesex,(01234) 123554,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.45286834,-0.33092348
4914,4105,Southall Urgent Care,100 Fore Street,Southall,UB,UB1 1BF,GreaterLondon,(01234) 123555,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.51604468,-0.383296458
4915,4106,West London  Urgent Care,101 Fore Street,West London ,W1,W10 4AQ,GreaterLondon,(01234) 123556,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.53204088,-0.21395628
4916,4107,West London  Urgent Care,102 Fore Street,West London ,W2,W2 1BS,GreaterLondon,(01234) 123557,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.52236048,-0.173944729
4917,4108,West London  Urgent Care,103 Fore Street,West London ,W3,W3 0AQ,GreaterLondon,(01234) 123558,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not available ,51.52097816,-0.274496724
